Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
09/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,TX,76210,,N/A,Referral,09/23/2013,Closed with explanation,Yes,Yes,537930
09/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,PNC Bank N.A.,FL,33179,,N/A,Referral,09/23/2013,Closed with explanation,Yes,No,538007
10/16/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,TX,76126,,N/A,Postal mail,11/07/2013,Closed with non-monetary relief,Yes,No,559999
10/03/2013,Mortgage,FHA mortgage,Settlement process and costs,,,,U.S. Bancorp,FL,34116,,N/A,Web,10/03/2013,Closed with explanation,Yes,No,551689
08/28/2013,Credit reporting,,Incorrect information on credit report,Public record,,,Experian,GA,31419,Servicemember,N/A,Postal mail,12/04/2013,Closed with non-monetary relief,Yes,No,507711
08/28/2013,Debt collection,Mortgage,Improper contact or sharing of info,Talked to a third party about my debt,,,Wells Fargo & Company,VA,24112,Older American,N/A,Web,08/29/2013,Closed with explanation,Yes,No,507713
09/23/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,OR,97537,,N/A,Postal mail,10/02/2013,Closed with explanation,Yes,Yes,537852
10/03/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,HI,96766,,N/A,Postal mail,10/03/2013,Closed with explanation,Yes,No,551349
09/23/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,CIT Bank National Association,NV,89113,,N/A,Postal mail,09/23/2013,Closed,Yes,No,537862
08/28/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,,,"Advance America, Cash Advance Centers, Inc.",OH,44270,,N/A,Phone,10/07/2013,Closed with explanation,Yes,No,507727
08/28/2013,Credit reporting,,Credit monitoring or identity protection,Billing dispute,,,Equifax,AR,72662,Older American,N/A,Web,08/28/2013,Closed with monetary relief,Yes,No,507729
10/16/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NJ,07305,,N/A,Phone,10/16/2013,Closed with explanation,Yes,No,560167
10/16/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,PA,18951,,N/A,Web,10/17/2013,Closed with non-monetary relief,Yes,No,560170
09/23/2013,Credit card,,Billing disputes,,,,Discover,PA,16002,,N/A,Referral,09/23/2013,Closed with explanation,Yes,No,537868
09/23/2013,Credit card,,Billing disputes,,,,JPMorgan Chase & Co.,OH,45011,,N/A,Referral,09/23/2013,Closed with explanation,Yes,No,538016
09/23/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,NY,12901,,N/A,Referral,09/23/2013,Closed with monetary relief,Yes,Yes,538033
10/16/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Ocwen,MO,63116,Older American,N/A,Web,10/18/2013,Closed with explanation,Yes,Yes,560175
10/16/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,"SunTrust Banks, Inc.",VA,23294,,N/A,Referral,10/16/2013,Closed with explanation,Yes,No,560721
10/16/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,32257,,N/A,Postal mail,10/16/2013,Closed,Yes,No,559918
09/10/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,WI,53538,,N/A,Referral,09/11/2013,Closed with explanation,Yes,No,522591
10/16/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,AES/PHEAA,FL,34608,,N/A,Web,10/16/2013,Closed with explanation,Yes,No,560179
09/23/2013,Money transfers,International money transfer,Other service issues,,,,Xoom,CA,95628,,N/A,Referral,09/23/2013,Closed with explanation,Yes,No,538074
10/16/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Discover,NJ,08065,,N/A,Web,10/16/2013,Closed with explanation,Yes,No,560181
09/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,94086,,N/A,Referral,09/23/2013,Closed with explanation,Yes,Yes,538058
10/03/2013,Money transfers,International money transfer,Fraud or scam,,,,The Western Union Company,MO,65355,Older American,N/A,Referral,10/04/2013,Closed with explanation,Yes,No,551721
09/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,GA,30012,,N/A,Referral,09/30/2013,Closed with explanation,Yes,No,538149
09/26/2013,Bank account or service,Checking account,Using a debit or ATM card,,,,Bank of America,IL,60487,,N/A,Phone,09/27/2013,Closed with explanation,Yes,No,544144
08/28/2013,Bank account or service,Savings account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,NY,10003,,N/A,Web,09/05/2013,Closed with explanation,Yes,No,507754
08/28/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,JPMorgan Chase & Co.,NJ,07652,,N/A,Web,08/29/2013,Closed with explanation,Yes,No,501665
09/23/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,Regions Financial Corporation,LA,70563,,N/A,Referral,09/23/2013,Closed with monetary relief,Yes,No,538040
09/26/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"Nelson, Watson & Associates, LLC",NY,11362,,N/A,Referral,09/27/2013,Closed with explanation,Yes,No,544149
09/23/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,HSBC North America Holdings Inc.,FL,34243,,N/A,Referral,10/25/2013,Closed with explanation,Yes,No,537879
09/26/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,PA,19083,,N/A,Web,09/27/2013,Closed with explanation,Yes,No,544156
08/28/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Capital One,WA,98106,,N/A,Referral,08/29/2013,Closed with explanation,Yes,No,507693
08/28/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Commercial Recovery Systems,WA,98405,,N/A,Referral,10/17/2013,Closed,Yes,No,507719
09/10/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Citibank,NY,14456,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,522618
09/10/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,OR,97405,,N/A,Web,09/11/2013,Closed with non-monetary relief,Yes,No,522621
10/03/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,Toyota Motor Credit Corporation,NY,11559,,N/A,Web,10/04/2013,Closed with explanation,Yes,No,551739
09/23/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"Credit Protection Association, L.P.",FL,34243,,N/A,Referral,09/23/2013,Closed with non-monetary relief,Yes,No,537882
08/28/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",NY,11050,,N/A,Referral,08/29/2013,Closed with explanation,Yes,No,507771
09/23/2013,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,MI,48239,,N/A,Fax,09/23/2013,Closed with explanation,Yes,Yes,541221
09/26/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Rubin & Rothman, LLC",NY,11362,,N/A,Referral,11/08/2013,Closed with non-monetary relief,Yes,No,544150
09/10/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,KelKris Associates Inc,CA,93620,,N/A,Web,09/10/2013,Closed with non-monetary relief,Yes,No,522630
10/03/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,MO,63026,,N/A,Web,10/04/2013,Closed with explanation,Yes,No,551754
09/23/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,Encore Capital Group,FL,34243,,N/A,Referral,09/23/2013,Closed with explanation,Yes,No,537883
10/16/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Bank of America,PA,19464,Older American,N/A,Web,10/16/2013,Closed with monetary relief,Yes,Yes,560204
09/10/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo & Company,FL,33462,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,522634
09/26/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,PNC Bank N.A.,IL,60156,,N/A,Web,09/27/2013,Closed,Yes,Yes,544168
09/23/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Experian,CO,80238,,N/A,Web,09/23/2013,Closed with non-monetary relief,Yes,No,537902
09/23/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Afni, Inc.",CA,93140,,N/A,Fax,09/23/2013,Closed with explanation,Yes,No,537905
08/28/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,"Convergent Resources, Inc.",NJ,08536,,N/A,Web,08/28/2013,Closed with explanation,Yes,No,501641
09/10/2013,Credit card,,Payoff process,,,,Regions Financial Corporation,TX,75007,,N/A,Web,10/23/2014,Closed with explanation,Yes,No,522640
09/10/2013,Money transfers,Domestic (US) money transfer,Incorrect/missing disclosures or info,,,,The Western Union Company,PA,15644,,N/A,Web,09/14/2013,Closed with explanation,Yes,No,522641
10/16/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Synchrony Financial,IN,46738,Older American,N/A,Phone,10/17/2013,Closed with monetary relief,Yes,No,560888
10/03/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Sallie Mae,IN,46637,,N/A,Web,10/04/2013,Closed with non-monetary relief,Yes,No,551764
09/23/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Citibank,DE,19803,,N/A,Phone,09/23/2013,Closed with explanation,Yes,No,537907
09/23/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,PNC Bank N.A.,FL,32926,,N/A,Web,09/23/2013,Closed with explanation,Yes,No,537908
09/23/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,TX,78704,,N/A,Postal mail,10/17/2013,Closed with non-monetary relief,Yes,No,537796
09/23/2013,Credit card,,Billing disputes,,,,JPMorgan Chase & Co.,NJ,08827,,N/A,Postal mail,09/30/2013,Closed with explanation,Yes,No,537909
10/16/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,FL,33311,,N/A,Referral,10/16/2013,Closed with explanation,Yes,No,560213
09/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NC,28621,,N/A,Web,09/30/2013,Closed with explanation,Yes,No,537913
10/03/2013,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,IL,60643,,N/A,Web,10/04/2013,Closed with explanation,Yes,No,551777
10/16/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",CA,95628,,N/A,Web,10/16/2013,Closed with monetary relief,Yes,No,560217
08/28/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,93706,,N/A,Web,08/29/2013,Closed with explanation,Yes,No,504904
10/16/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,"TransUnion Intermediate Holdings, Inc.",PA,17602,,N/A,Web,10/16/2013,Closed with non-monetary relief,Yes,No,560221
09/26/2013,Consumer Loan,Installment loan,Managing the loan or lease,,,,"CashCall, Inc.",PA,15435,,N/A,Web,09/27/2013,Closed with explanation,Yes,No,544188
09/11/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,AllianceOne Recievables Management,WA,98204,,N/A,Phone,09/11/2013,Closed with explanation,Yes,No,523184
08/28/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",IL,60436,,N/A,Web,08/28/2013,Closed with explanation,Yes,Yes,507801
09/11/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Citibank,CA,94541,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,523170
10/16/2013,Credit card,,Advertising and marketing,,,,Bank of America,NY,10583,,N/A,Web,10/16/2013,Closed with explanation,Yes,No,560226
08/28/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",MS,39213,,N/A,Referral,08/29/2013,Closed with explanation,Yes,No,507818
09/11/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"TransUnion Intermediate Holdings, Inc.",FL,32810,,N/A,Web,09/14/2013,Closed with explanation,Yes,No,523211
09/26/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,CA,95051,,N/A,Web,09/26/2013,Closed with non-monetary relief,Yes,Yes,544196
10/16/2013,Credit card,,Billing disputes,,,,JPMorgan Chase & Co.,NY,11230,,N/A,Web,10/16/2013,Closed with explanation,Yes,No,560228
09/11/2013,Credit card,,APR or interest rate,,,,Capital One,GA,30135,,N/A,Web,09/14/2013,Closed with explanation,Yes,No,523239
09/11/2013,Debt collection,Credit card,Communication tactics,Called outside of 8am-9pm,,,Encore Capital Group,AL,36091,,N/A,Web,09/14/2013,Closed with non-monetary relief,Yes,No,523240
09/11/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Bank of America,FL,33030,,N/A,Web,09/11/2013,Closed with explanation,Yes,Yes,523201
09/11/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Union Bank,CA,92110,Older American,N/A,Web,09/11/2013,Closed with monetary relief,Yes,No,523205
09/11/2013,Credit card,,Other,,,,Capital One,CO,80817,,N/A,Web,09/11/2013,Closed with monetary relief,Yes,Yes,523207
10/16/2013,Debt collection,Mortgage,Communication tactics,Frequent or repeated calls,,,Wells Fargo & Company,MI,48230,,N/A,Web,10/16/2013,Closed with explanation,Yes,No,560231
10/03/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Encore Capital Group,NJ,08857,,N/A,Referral,10/04/2013,Closed with explanation,Yes,No,551796
08/28/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Equifax,OK,73012,,N/A,Web,08/29/2013,Closed with non-monetary relief,Yes,Yes,501974
09/11/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NJ,08527,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,523213
09/11/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,FL,32810,,N/A,Web,09/14/2013,Closed with non-monetary relief,Yes,No,523212
10/16/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Astoria Bank,NY,11747,,N/A,Referral,10/17/2013,Closed,Yes,Yes,560361
09/23/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,"Dynamic Recovery Solutions, LLC",KY,42223,,N/A,Web,09/23/2013,Closed with explanation,Yes,Yes,537952
09/23/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,M&T Bank Corporation,MI,48382,,N/A,Postal mail,09/23/2013,Closed with explanation,Yes,No,537766
09/26/2013,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Citibank,TX,78641,,N/A,Web,09/26/2013,Closed with explanation,Yes,No,544216
09/11/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,FL,33162,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,523222
09/11/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,MN,55428,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,523227
10/16/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,NY,10461,,N/A,Referral,10/16/2013,Closed with explanation,No,,559985
09/11/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Experian,MA,02176,,N/A,Web,09/14/2013,Closed with explanation,Yes,No,523059
10/03/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CA,94132,,N/A,Web,10/04/2013,Closed with explanation,Yes,No,552330
09/11/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,TX,77489,,N/A,Web,09/11/2013,Closed with explanation,Yes,Yes,522674
09/11/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Progressive Financial Services, Inc.",AZ,85224,,N/A,Web,09/13/2013,Closed with explanation,Yes,No,523234
10/03/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Ally Financial Inc.,CA,91423,,N/A,Web,10/03/2013,Closed with explanation,Yes,Yes,551826
09/11/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,Bank of America,MA,02043,,N/A,Web,09/11/2013,Closed with monetary relief,Yes,No,522700
10/16/2013,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,Ally Financial Inc.,IL,62084,,N/A,Web,10/17/2013,Closed with non-monetary relief,Yes,No,560256
10/16/2013,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,,Experian,DC,20012,,N/A,Web,10/16/2013,Closed with explanation,Yes,No,560257
10/16/2013,Mortgage,FHA mortgage,Credit decision / Underwriting,,,,"Cornerstone Mortgage, Inc.",MO,64079,Servicemember,N/A,Web,10/16/2013,Closed with explanation,Yes,No,559920
10/03/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,GA,31204,,N/A,Web,10/03/2013,Closed with explanation,Yes,No,551830
09/11/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,DC,20020,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,523241
10/16/2013,Credit card,,Billing disputes,,,,Discover,CA,93446,,N/A,Postal mail,10/16/2013,Closed with explanation,Yes,Yes,560259
10/16/2013,Credit card,,APR or interest rate,,,,Barclays PLC,NC,28173,,N/A,Web,10/16/2013,Closed with explanation,Yes,Yes,560263
10/16/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"Caliber Home Loans, Inc",TX,77489,,N/A,Referral,10/22/2013,Closed with explanation,Yes,No,560447
09/11/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,BMO Harris,AZ,85262,,N/A,Web,09/11/2013,Closed with explanation,Yes,Yes,523246
10/03/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Wells Fargo & Company,FL,33029,,N/A,Referral,10/04/2013,Closed with explanation,Yes,Yes,552316
09/23/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Continental Home Loans Inc.,NY,11727,,N/A,Web,09/23/2013,Closed with explanation,Yes,Yes,537999
10/03/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,USAA Savings,FL,33570,,N/A,Referral,10/04/2013,Closed with explanation,Yes,No,551863
10/03/2013,Credit card,,Closing/Cancelling account,,,,Synovus Bank,CA,95426,,N/A,Referral,10/04/2013,Closed with explanation,Yes,No,551884
10/16/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Specialized Loan Servicing LLC,CA,90272,,N/A,Web,10/16/2013,Closed,Yes,No,560271
09/26/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"Select Portfolio Servicing, Inc",MD,20874,,N/A,Web,09/27/2013,Closed with explanation,Yes,No,544259
08/28/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Resurgent Capital Services L.P.,TX,77083,,N/A,Referral,08/29/2013,Closed with explanation,Yes,No,507873
10/03/2013,Mortgage,Other mortgage,Other,,,,Bank of America,PA,19120,,N/A,Referral,10/04/2013,Closed with explanation,Yes,Yes,551875
09/26/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,Citibank,TN,37769,,N/A,Phone,09/27/2013,Closed with explanation,Yes,No,544529
10/16/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,CA,91364,,N/A,Web,10/16/2013,Closed with explanation,Yes,No,560283
10/03/2013,Credit card,,Credit card protection / Debt protection,,,,Synchrony Financial,NJ,07031,,N/A,Web,10/04/2013,Closed with explanation,Yes,No,552153
08/28/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,39817,,N/A,Phone,09/05/2013,Closed with explanation,Yes,No,507882
09/26/2013,Credit card,,Customer service / Customer relations,,,,Discover,TX,78681,Older American,N/A,Web,09/27/2013,Closed with explanation,Yes,No,544271
08/28/2013,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,,"Morgan & Associates, P.C.",NM,88001,,N/A,Web,08/29/2013,Closed with explanation,Yes,No,508060
09/26/2013,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"Portfolio Recovery Associates, Inc.",CA,90048,,N/A,Web,09/27/2013,Closed with non-monetary relief,Yes,No,544282
09/23/2013,Credit card,,Payoff process,,,,PNC Bank N.A.,IN,46017,,N/A,Referral,09/23/2013,Closed with explanation,Yes,No,538050
10/03/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,11727,,N/A,Referral,10/04/2013,Closed with explanation,Yes,No,551276
10/16/2013,Mortgage,Reverse mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,TX,75116,,N/A,Postal mail,10/17/2013,Closed with explanation,Yes,Yes,559944
10/16/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,NY,11201,,N/A,Web,10/16/2013,Closed with non-monetary relief,Yes,No,560301
08/28/2013,Credit card,,Delinquent account,,,,Gryphon Corp,CA,90034,Older American,N/A,Web,08/29/2013,Closed with explanation,Yes,No,507896
09/11/2013,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,HSBC North America Holdings Inc.,NY,11207,,N/A,Referral,09/11/2013,Closed with explanation,Yes,No,523398
09/23/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"Seterus, Inc.",MD,20772,,N/A,Web,09/24/2013,Closed with explanation,Yes,No,537957
09/11/2013,Consumer Loan,Installment loan,Taking out the loan or lease,,,,"OneMain Financial Holdings, LLC",MS,39601,Older American,N/A,Web,09/17/2013,Closed with explanation,Yes,Yes,524492
10/16/2013,Mortgage,Other mortgage,Other,,,,Bank of America,CA,91724,,N/A,Referral,10/17/2013,Closed with explanation,Yes,Yes,560738
09/11/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Santander Bank US,PA,19081,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,523289
09/11/2013,Credit reporting,,Credit monitoring or identity protection,Billing dispute,,,Experian,GA,30188,,N/A,Web,09/14/2013,Closed with monetary relief,Yes,No,523367
09/11/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Round Point Mortgage,PA,18235,,N/A,Referral,09/12/2013,Closed,Yes,No,523526
10/03/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,DE,19805,,N/A,Referral,10/04/2013,Closed with explanation,Yes,No,551926
09/26/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,"Retrieval-Masters Creditors Bureau, Inc.",NJ,08527,,N/A,Phone,09/27/2013,Closed with non-monetary relief,Yes,No,544323
09/11/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Resurgent Capital Services L.P.,KS,66502,Servicemember,N/A,Web,09/14/2013,Closed with explanation,Yes,No,523317
10/03/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,GA,30331,,N/A,Referral,10/28/2013,Closed with explanation,Yes,Yes,551914
10/16/2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Valley National Bank,NY,11749,,N/A,Referral,10/17/2013,Closed with explanation,Yes,No,559884
09/11/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Loan Care,MD,21005,,N/A,Web,09/11/2013,Closed with explanation,Yes,Yes,523321
09/26/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,GA,30318,Older American,N/A,Web,09/27/2013,Closed with explanation,Yes,No,544333
10/16/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,MO,21239,,N/A,Postal mail,10/16/2013,Closed with explanation,Yes,No,560353
10/03/2013,Credit card,,Delinquent account,,,,Bank of America,VA,24018,,N/A,Phone,10/04/2013,Closed with explanation,Yes,Yes,551821
08/28/2013,Credit card,,Delinquent account,,,,Citibank,GA,30311,Older American,N/A,Web,08/28/2013,Closed with non-monetary relief,Yes,No,507961
10/16/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,BB&T Financial,MD,20706,,N/A,Web,10/22/2013,Closed with explanation,Yes,No,560355
09/11/2013,Credit card,,Billing disputes,,,,Bank of America,SC,29510,,N/A,Web,09/11/2013,Closed with explanation,Yes,No,523155
08/28/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"Seterus, Inc.",CA,90211,,N/A,Web,08/29/2013,Closed with explanation,Yes,No,508364
10/03/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ocwen,MI,48334,,N/A,Web,10/04/2013,Closed with explanation,Yes,No,551368
10/03/2013,Consumer Loan,Personal line of credit,Managing the line of credit,,,,"OneMain Financial Holdings, LLC",CA,95112,,N/A,Referral,10/17/2013,Closed with explanation,Yes,No,551938
09/26/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Ditech Financial LLC,IL,60099,Older American,N/A,Web,09/27/2013,Closed with explanation,Yes,Yes,544352
04/18/2014,Credit card,,Payoff process,,,,Discover,MA,02127,,N/A,Phone,04/23/2014,Closed with explanation,Yes,No,815245
10/16/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,WA,98001,,N/A,Web,10/17/2013,Closed with explanation,Yes,No,559972
09/11/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Citibank,CA,91325,,N/A,Phone,09/11/2013,Closed with non-monetary relief,Yes,No,523360
10/16/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,NY,11747,,N/A,Referral,10/21/2013,Closed,Yes,Yes,560363
10/16/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Caliber Home Loans, Inc",CA,90275,,N/A,Web,10/21/2013,Closed with explanation,Yes,No,560373
10/16/2013,Credit card,,Payoff process,,,,Bank of America,FL,34219,,N/A,Web,10/17/2013,Closed with monetary relief,Yes,No,560377
08/28/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Experian,MS,39540,,N/A,Web,08/28/2013,Closed with explanation,Yes,Yes,507992
09/11/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,"Linebarger Goggan Blair & Sampson, LLP",TX,78108,,N/A,Referral,10/07/2013,Closed with explanation,Yes,No,523377
10/03/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Comerica,MI,48314,,N/A,Referral,10/04/2013,Closed with explanation,Yes,No,552023
